tweet,label
happy birthday to my main squeeze. i luv you mazzoni. can't wait for a weekend filled w bubbly &amp; glitter🍾💕✨ https://t.co/S09ESpjlfa,0
Wonder how many lies I told last year smh..that shit brazy 😂,0
@thickbitchtyler I am sooo happy  and proud of you tyty you are such a king!!! I love you so much and after that I Love you  more💘good well😍,0
"Heyyyy, I don die! God abeg o no let me marry diz kain useless girls as wife ""@ChukwukaJerri: Isn't this another https://t.co/WoLyE7uwOq""",0
I see no lies here https://t.co/4OtzyLoMCb,0
"まーるふぉいふぉい
バイト頑張れ〜〜い！

お腹いっぱいだからちょっと休憩してから課題しよーっと！(笑)",0
"When singing ""Love on the brain by Rihanna"" look I become her kore ka alles her attitude etc..",0
Quisiera el regaló de Navidad de nomesqui 💔😭 ella va ir a ver a SILVESTRE Y DON OMAR 😭😭😭😭,0
I JUST WANNA FIGHT NO TALKN STRAIGHT THROWING DEM BITCHES,0
"I'm confident, disciplined and productive #dailyaffirmation",0
"선릉풀싸롱 0I0.2156.9I39▶태희 찾아주세요^^☎
♨매직미러 초이스♨
#강남야구장 #강남풀싸롱
#선릉야구장 #강남풀싸롱
#선릉풀싸롱 #강남풀싸롱
#강남풀싸롱 #강남풀싸롱
#역삼풀싸롱 #강남풀싸롱
#역삼야구장 #강남풀싸롱
323a1",0
"@WestStayBlessed I heard you shouldn't worry about BMI too much though, don't worry bro 😁",0
@teniskiller @megxjohnny คิดได้ละหรอ,0
shout احسه تلميح عن الألبوم 🙊😭❤.. https://t.co/3bz1TL4VVe,0
Prof Helmuth Nyborg Top #IQ #experts states I.Q. down because of mass immigration https://t.co/S3NobM8Eef,0
"While at Gibbs' studio, they recorded a series of powerful singles,  starting with ""See Dem a Come"" and i ""Two  Sevens Clash""  #Regepoison",0
"""Ethics in journalism"", @BBC.
Go look that up. Oh, don't worry, I can wait.  https://t.co/BXMWlvjfHa",0
I'm about to be so tired Tomorrow,0
The first present I had on my birthday 😂 https://t.co/ftzaDu775f,0
@cardcaptortae Well thanks for making me cry.But oy I'm a new idiot who fell for Bts.Do u ship Jimin&amp;Suga?Can u tell their moments pls sorry,0
Woke up at 5.30am coughing and then couldn't sleep for over an hour. Decided to read Piers Morgan new article and I fell asleep in seconds.,0
Love Trip #TTIByAdheDanArifYusa,0
I appear to have burst into flames.,0
"@jwilkinson1988 Like Redgies dits. However yes, I agree massively. If you like it, you're either stupid and/or you don't drive.",0
"Fairy Tail - Erza Scarlet! First drawing I did in like 5 years, still got it! Kind of 😂. #anime #fairytail #wizard… https://t.co/xyLqn8dL0E",0
@BRAVO214 I love you 2! Do you think America is racist?,0
@Matt_Olszewski I had to think about this one for a while,0
"@CHIMAMOS 
16人もお疲れ様でした！
クッレルヴォとってもイケメンですよ！！
ありがとうございましたー！(´∠`o)♡",0
@qwertls BITCH,0
"I was at WA Porto Alegre in Porto Alegre, RS https://t.co/Y7Px2YWRV9",0
"I'm listening to "" Places-Martin Solveig;Ina Wroldsen "". Let's enjoy music on JOOX! https://t.co/iwDaF1me87 (#JOOX)",0
"@wru4me @mcbmw21 @DannyZuker Reminds me of my 1st impression of him: ""How the fuck can you like Trump?""  Then I found the answer: he's a RW.",0
@zaynmalik happy birthday king I love you beyond words can describe. So happy to have been apart of your journey from the start. I wish you,0
"I'm at Carrera Fitness &amp; Spa in Gaziemir, İzmir https://t.co/9j0Az6pOGo",0
@berrysky17_vain 僕に答えをください https://t.co/pb3G5q5vCX,0
@Just_JMalcher I think the offical quantifier is when you choose to do that instead of fun things. Hashtag adulthood is so g u guise.,0
I liked a @YouTube video https://t.co/AM2lShdnA2 Brahms Lullaby Music BOX,0
"I want to kiss them goddamn — Appreciate the compliment, but can't do https://t.co/snRqKX50VC",0
@toastofworcesta @ourrachblogs I'm sure they are 😉😉,0
"""I'm just a little boy from Bradford and now I''m smashing it""
#HappyBirthdayZaynMalik https://t.co/08ArofWCQx",0
"I love when my eyes get red &amp; puffy from being sick, I really do, I utterly enjoy being sick",0
"https://t.co/LO6UYa4Lq0
@AHMED_YAG  u remember.. walh I miss u ya5",0
"猫カフェで働きたい…今の猫カフェ辞めても猫カフェで働きたい
今すごい良い環境で働かせてもらってることに感謝せねば。。。
普通猫カフェとか人気すぎてなかなかこんな経験できん(´；ω；｀)

引越しの為あと1ヶ月弱でルアナ辞めるので会… https://t.co/KppaTjw2Ug",0
"...You're still here? N-no, I'm fine!  Just...thirsty.  (Werewolf Germany must have had trouble sleeping.)",0
@WhereTrayDoe_ bro 😂 I'm not that bad,0
"I dont want read, watch sth, play, go out or invite people but im so bored",0
